Title,Year,Duration,MPA,budget,directors,writers,stars,production_companies,Category,Profit,Hit
1. Star Wars: Episode III - Revenge of the Sith,2005,140.0,PG-13,113000000.0,George Lucas,George Lucas,Hayden Christensen,Lucasfilm,Epic,752.2439247787611,1
"2. The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,143.0,PG,180000000.0,Andrew Adamson,Ann Peacock,Tilda Swinton,Walt Disney Pictures,Epic,413.89617499999997,1
3. Harry Potter and the Goblet of Fire,2005,157.0,PG-13,150000000.0,Mike Newell,Steve Kloves,Daniel Radcliffe,Warner Bros.,Fantasy,598.3126346666667,1
4. War of the Worlds,2005,117.0,PG-13,132000000.0,Steven Spielberg,Josh Friedman,Tom Cruise,Paramount Pictures,Epic,457.47992727272725,1
5. King Kong,2005,187.0,PG-13,207000000.0,Peter Jackson,Fran Walsh,Naomi Watts,Universal Pictures,Epic,269.03689758454107,1
6. Wedding Crashers,2005,119.0,R,40000000.0,David Dobkin,Steve Faber,Owen Wilson,New Line Cinema,Comedy,721.2128375,1
7. Batman Begins,2005,140.0,PG-13,150000000.0,Christopher Nolan,Bob Kane,Christian Bale,Warner Bros.,Epic,250.26989066666667,1
8. Charlie and the Chocolate Factory,2005,115.0,PG,150000000.0,Tim Burton,Roald Dahl,Johnny Depp,Warner Bros.,Fantasy,316.645842,1
9. Madagascar,2005,86.0,PG,75000000.0,Eric Darnell,Mark Burton,Chris Rock,DreamWorks Animation,Comedy,722.7527,1
10. Mr. & Mrs. Smith,2005,120.0,PG-13,110000000.0,Doug Liman,Simon Kinberg,Brad Pitt,New Regency Productions,Action,442.98876909090905,1
11. Hitch,2005,118.0,PG-13,70000000.0,Andy Tennant,Kevin Bisch,Will Smith,Columbia Pictures,Comedy,530.8488714285714,1
12. The Longest Yard,2005,113.0,PG-13,82000000.0,Peter Segal,Albert S. Ruddy,Adam Sandler,Paramount Pictures,Comedy,233.49579999999997,1
13. Fantastic Four,2005,106.0,PG-13,100000000.0,Tim Story,Mark Frost,Ioan Gruffudd,Twentieth Century Fox,Fantasy,333.535934,1
14. Chicken Little,2005,81.0,G,150000000.0,Mark Dindal,Mark Dindal,Zach Braff,Walt Disney Pictures,Fantasy,209.62189133333334,1
15. Robots,2005,91.0,PG,75000000.0,Chris Wedge,David Lindsay-Abaire,Ewan McGregor,Twentieth Century Fox Animation,Comedy,350.01532000000003,1
16. Walk the Line,2005,136.0,PG-13,28000000.0,James Mangold,Johnny Cash,Joaquin Phoenix,Fox 2000 Pictures,Romance,667.1356642857143,1
17. The Pacifier,2005,95.0,PG,56000000.0,Adam Shankman,Thomas Lennon,Vin Diesel,Walt Disney Pictures,Action,354.70869285714286,1
18. Fun with Dick and Jane,2005,90.0,PG-13,100000000.0,Dean Parisot,Judd Apatow,Jim Carrey,Columbia Pictures,Comedy,204.681899,1
19. The 40-Year-Old Virgin,2005,116.0,R,26000000.0,Judd Apatow,Judd Apatow,Steve Carell,Universal Pictures,Comedy,682.2255576923077,1
20. Flightplan,2005,98.0,PG-13,55000000.0,Robert Schwentke,Peter A. Dowling,Jodie Foster,Touchstone Pictures,Drama,406.15872545454545,1
21. Saw II,2005,93.0,R,4000000.0,Darren Lynn Bousman,Leigh Whannell,Donnie Wahlberg,Lionsgate,Horror,3693.7126249999997,1
22. Brokeback Mountain,2005,134.0,R,14000000.0,Ang Lee,Annie Proulx,Jake Gyllenhaal,Focus Features,Romance,1271.8867214285715,1
23. Monster-in-Law,2005,101.0,PG-13,43000000.0,Robert Luketic,Anya Kochoff,Jennifer Lopez,New Line Cinema,Comedy,361.5286674418605,1
24. Are We There Yet?,2005,95.0,PG,32000000.0,Brian Levant,Steven Gary Banks,Ice Cube,Revolution Studios,Fantasy,305.995821875,1
25. Cheaper by the Dozen 2,2005,94.0,PG,60000000.0,Adam Shankman,Sam Harper,Steve Martin,Twentieth Century Fox,Comedy,216.92428,1
26. The Dukes of Hazzard,2005,104.0,PG-13,50000000.0,Jay Chandrasekhar,Gy Waldron,Seann William Scott,Warner Bros.,Comedy,222.13903,1
27. March of the Penguins,2005,80.0,G,8000000.0,Luc Jacquet,Luc Jacquet,Morgan Freeman,National Geographic Films,Adventure,1592.4086625,1
28. The Ring Two,2005,110.0,PG-13,50000000.0,Hideo Nakata,Ehren Kruger,Naomi Watts,Dreamworks Pictures,Horror,327.991898,1
29. Constantine,2005,121.0,R,100000000.0,Francis Lawrence,Jamie Delano,Keanu Reeves,Warner Bros.,Fantasy,230.88472800000002,1
30. The Exorcism of Emily Rose,2005,119.0,PG-13,19000000.0,Scott Derrickson,Paul Harris Boardman,Laura Linney,Screen Gems,Horror,764.0358105263158,1
