Title,Year,Duration,MPA,Rating,Votes,budget,grossWorldWide,gross_US_Canada,opening_weekend_Gross,directors,stars,production_companies,nominations,oscars,Category,Profit
1. Star Wars: Episode III - Revenge of the Sith,2005,140.0,10,7.6,867000.0,113000000.0,850035635.0,380270577.0,108435841.0,54.87179306741116,54.87179306741116,54.87179306741116,64,1,4,7.52243924778761
"2. The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,143.0,9,6.9,438000.0,180000000.0,745013115.0,291710957.0,65556312.0,52.69932600671264,54.43157397213248,54.43157397213248,46,0,4,4.13896175
3. Harry Potter and the Goblet of Fire,2005,157.0,10,7.7,705000.0,150000000.0,897468952.0,290469928.0,102685961.0,51.9069750436369,51.90910841588122,54.671515414279035,48,1,5,5.983126346666666
4. War of the Worlds,2005,117.0,10,6.5,485000.0,132000000.0,603873504.0,234280354.0,64878725.0,47.18846046231208,54.488280127284675,54.488280127284675,49,3,4,4.574799272727272
5. King Kong,2005,187.0,10,7.2,455000.0,207000000.0,556906378.0,218080025.0,50130145.0,50.31626477195502,54.24309977631397,54.24309977631397,104,0,4,2.6903689758454106
6. Wedding Crashers,2005,119.0,11,7.0,383000.0,40000000.0,288485135.0,209273411.0,32200000.0,51.06519297498109,54.831418993174516,54.831418993174516,11,0,2,7.212128375
7. Batman Begins,2005,140.0,10,8.2,1600000.0,150000000.0,375404836.0,206863479.0,48745440.0,48.691532905198606,54.21868230992952,54.21868230992952,79,1,4,2.5026989066666667
8. Charlie and the Chocolate Factory,2005,115.0,9,6.7,544000.0,150000000.0,474968763.0,206459076.0,56178450.0,48.35856987879855,54.30504304755325,54.30504304755325,52,1,5,3.16645842
9. Madagascar,2005,86.0,9,6.9,451000.0,75000000.0,542064525.0,193595521.0,47224594.0,53.96372477549907,54.833422484780556,52.35026335541482,32,0,2,7.227527
10. Mr. & Mrs. Smith,2005,120.0,10,6.5,558000.0,110000000.0,487287646.0,186336279.0,50342878.0,46.85291857920545,54.469425902456784,54.469425902456784,18,0,0,4.429887690909091
