Title,Year,Duration,MPA,budget,directors,writers,stars,production_companies,Category,Profit,Hit
1. Star Wars: Episode III - Revenge of the Sith,2005,140.0,PG-13,113000000.0,2105,2308,2155,3300,4,752.2439247787611,1
"2. The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,143.0,PG,180000000.0,355,490,5487,5179,4,413.89617499999997,1
3. Harry Potter and the Goblet of Fire,2005,157.0,PG-13,150000000.0,4222,6201,1326,5188,5,598.3126346666667,1
4. War of the Worlds,2005,117.0,PG-13,132000000.0,5678,3431,5535,3944,4,457.47992727272725,1
5. King Kong,2005,187.0,PG-13,207000000.0,4705,2186,4183,5082,4,269.03689758454107,1
6. Wedding Crashers,2005,119.0,R,40000000.0,1474,6199,4388,3737,2,721.2128375,1
7. Batman Begins,2005,140.0,PG-13,150000000.0,1177,848,1110,5188,4,250.26989066666667,1
8. Charlie and the Chocolate Factory,2005,115.0,PG,150000000.0,5887,5521,2809,5188,5,316.645842,1
9. Madagascar,2005,86.0,PG,75000000.0,1843,4225,1105,1883,2,722.7527,1
10. Mr. & Mrs. Smith,2005,120.0,PG-13,110000000.0,1703,6074,813,3741,0,442.98876909090905,1
11. Hitch,2005,118.0,PG-13,70000000.0,427,3729,5779,1520,2,530.8488714285714,1
12. The Longest Yard,2005,113.0,PG-13,82000000.0,4720,208,124,3944,2,233.49579999999997,1
13. Fantastic Four,2005,106.0,PG-13,100000000.0,5907,4236,2284,5036,5,333.535934,1
14. Chicken Little,2005,81.0,G,150000000.0,3844,4230,5898,5179,5,209.62189133333334,1
15. Robots,2005,91.0,PG,75000000.0,1126,1675,1799,5037,2,350.01532000000003,1
16. Walk the Line,2005,136.0,PG-13,28000000.0,2528,3298,2704,2325,8,667.1356642857143,1
17. The Pacifier,2005,95.0,PG,56000000.0,114,6429,5704,5179,0,354.70869285714286,1
18. Fun with Dick and Jane,2005,90.0,PG-13,100000000.0,1585,3485,2665,1520,2,204.681899,1
19. The 40-Year-Old Virgin,2005,116.0,R,26000000.0,3134,3485,5279,5082,2,682.2255576923077,1
20. Flightplan,2005,98.0,PG-13,55000000.0,5090,5167,2710,4997,3,406.15872545454545,1
21. Saw II,2005,93.0,R,4000000.0,1432,3940,1544,3248,6,3693.7126249999997,1
22. Brokeback Mountain,2005,134.0,R,14000000.0,432,520,2386,2276,8,1271.8867214285715,1
23. Monster-in-Law,2005,101.0,PG-13,43000000.0,5078,568,2577,3737,2,361.5286674418605,1
24. Are We There Yet?,2005,95.0,PG,32000000.0,862,6221,2254,4289,5,305.995821875,1
25. Cheaper by the Dozen 2,2005,94.0,PG,60000000.0,114,5807,5289,5036,2,216.92428,1
26. The Dukes of Hazzard,2005,104.0,PG-13,50000000.0,2625,2457,5029,5188,2,222.13903,1
27. March of the Penguins,2005,80.0,G,8000000.0,3655,4032,4115,3705,1,1592.4086625,1
28. The Ring Two,2005,110.0,PG-13,50000000.0,2316,1943,4183,1891,6,327.991898,1
29. Constantine,2005,121.0,R,100000000.0,1975,2833,3125,5188,5,230.88472800000002,1
30. The Exorcism of Emily Rose,2005,119.0,PG-13,19000000.0,5347,5121,3355,4461,6,764.0358105263158,1
31. Four Brothers,2005,109.0,R,45000000.0,2957,1641,3736,3944,0,205.27705333333333,1
32. Sin City,2005,124.0,R,40000000.0,1990,2205,4013,1794,7,396.83455,1
33. The Interpreter,2005,128.0,PG-13,80000000.0,5744,4316,4292,5082,7,203.68115375000002,1
34. V for Vendetta,2005,132.0,R,54000000.0,2531,3975,2236,5188,0,249.41936481481483,1
